object Path ,classification, Template Name
Model.SCF.'SCF (WACS)'.'WACS Bin'.'Closing Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Closing Stock-SCF
Model.SCF.'SCF (WACS)'.'WACS Bin'.'Opening Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Opening Stock-SCF
Model.SCF.'SCF (WACS)'.'WACS Bin',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (WACS)'.'Offline WACS Stockpile'.'Excess from WACS Bin',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCF (WACS)'.'Offline WACS Stockpile'.'Input to WACS Bin',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCF (WACS)'.'Offline WACS Stockpile'.'Closing Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Closing Stock-SCF
Model.SCF.'SCF (WACS)'.'Offline WACS Stockpile'.'Opening Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Opening Stock-SCF
Model.SCF.'SCF (WACS)'.'Offline WACS Stockpile',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (WACS)'.'WACS Tails Bin'.Input,OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCF (WACS)'.'WACS Tails Bin'.'Total Available Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCF (WACS)'.'WACS Tails Bin'.'To SCF Plant',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCF (WACS)'.'WACS Tails Bin'.'Closing Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Closing Stock-SCF
Model.SCF.'SCF (WACS)'.'WACS Tails Bin'.'Opening Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Opening Stock-SCF
Model.SCF.'SCF (WACS)'.'WACS Tails Bin',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (WACS)'.Process,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (WACS)'.Recoveries,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (WACS)'.'WACS Matte'.'New WACS Matte',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (WACS)'.'WACS Matte'.'Total Available Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCF (WACS)'.'WACS Matte'.Output,OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCF (WACS)'.'WACS Matte'.'New FM',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCF (WACS)'.'WACS Matte'.'To Recycles',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCF (WACS)'.'WACS Matte'.'To Recycles (Dispatch Stock)',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCF (WACS)'.'WACS Matte'.'To Recycles (Despatched to Bin)',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCF (WACS)'.'WACS Matte'.'In Process Stock At End',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Closing Stock-SCF
Model.SCF.'SCF (WACS)'.'WACS Matte'.'Product Stock At End',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Closing Stock-SCF
Model.SCF.'SCF (WACS)'.'WACS Matte'.'In Process Stock At Start',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Opening Stock-SCF
Model.SCF.'SCF (WACS)'.'WACS Matte'.'Product Stock At Start',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Opening Stock-SCF
Model.SCF.'SCF (WACS)'.'WACS Matte',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (WACS)'.'SCF Slag',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (WACS)'.Checks.Accountability,OIC1_STDC0_AFDC1_PC0_OLI0,Metal Volumes-Stockpile
Model.SCF.'SCF (WACS)'.Checks.'Overall Recovery',OIC1_STDC0_AFDC1_PC0_OLI0,Metal Volumes-Stockpile
Model.SCF.'SCF (WACS)'.Checks.'Process Recovery',OIC1_STDC0_AFDC1_PC0_OLI0,Metal Volumes-Stockpile
Model.SCF.'SCF (WACS)'.Checks,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (WACS)',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (Conc)'.Process,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (Conc)'.Recoveries,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (Conc)'.'New FM',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (Conc)'.Acid,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (Conc)'.Slag.'New Conc Slag',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (Conc)'.Slag,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (Conc)'.'Lost To Dust',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCF (Conc)'.Input,OIC1_STDC0_AFDC1_PC0_OLI0,Generic Stockpile-Stockpile
Model.SCF.'SCF (Conc)',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.Reporting,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.Furnaces.'SCF (Conc) #1',OIC1_STDC0_AFDC1_PC0_OLI0,Furnace-
Model.SCF.Furnaces.'SCF (Conc) #2',OIC1_STDC0_AFDC1_PC0_OLI0,Furnace-
Model.SCF.Furnaces.'SCF (WACS) #1',OIC1_STDC0_AFDC1_PC0_OLI0,Furnace-
